"DATE","MAX_TEMPERATURE_C","WINDSPEED_MAX_KMH","HUMIDITY_MAX_PERCENT"
"2017-06-23",28,17,75
"2017-06-24",28,17,81
"2017-06-25",27,16,82
"2017-06-26",30,14,69
"2017-06-27",27,18,77
"2017-06-28",26,22,86
"2017-06-29",23,16,93
"2017-06-30",22,12,87
"2017-07-01",25,19,51
"2017-07-02",27,14,54
"2017-07-03",29,16,55
"2017-07-04",31,16,47
"2017-07-05",32,15,35
"2017-07-06",33,14,30
"2017-07-07",35,16,28
"2017-07-08",34,18,30
"2017-07-09",35,17,46
"2017-07-10",31,17,55
"2017-07-11",34,15,38
"2017-07-12",32,18,50
"2017-07-13",31,17,55
"2017-07-14",31,17,63
"2017-07-15",31,12,55
"2017-07-16",31,15,43
"2017-07-17",31,20,49
"2017-07-18",31,15,37
"2017-07-19",32,13,44
"2017-07-20",35,9,46
"2017-07-21",33,14,66
"2017-07-22",32,12,61
"2017-07-23",32,14,58
"2017-07-24",28,19,68
"2017-07-25",28,14,58
"2017-07-26",29,13,58
"2017-07-27",30,14,64
"2017-07-28",31,13,56
"2017-07-29",32,12,54
"2017-07-30",35,11,33
"2017-07-31",39,6,31
"2017-08-01",39,9,32
"2017-08-02",36,13,45
"2017-08-03",38,11,26
"2017-08-04",37,13,35
"2017-08-05",34,13,53
"2017-08-06",34,14,58
"2017-08-07",34,13,50
"2017-08-08",36,10,36
"2017-08-09",33,12,51
"2017-08-10",29,15,44
"2017-08-11",24,22,57
"2017-08-12",27,13,59
"2017-08-13",30,13,63
"2017-08-14",31,11,45
"2017-08-15",33,10,43
"2017-08-16",32,12,50
"2017-08-17",33,12,59
"2017-08-18",33,12,56
"2017-08-19",31,13,52
"2017-08-20",31,11,58
"2017-08-21",29,14,60
"2017-08-22",30,12,60
"2017-08-23",30,12,53
"2017-08-24",32,11,49
"2017-08-25",34,10,41
"2017-08-26",34,10,44
"2017-08-27",35,12,35
"2017-08-28",35,12,36
"2017-08-29",32,12,58
"2017-08-30",33,11,49
"2017-08-31",31,12,59
"2017-09-01",26,11,58
"2017-09-02",22,26,55
"2017-09-03",23,14,63
"2017-09-04",26,12,53
"2017-09-05",27,13,72
"2017-09-06",27,14,76
"2017-09-07",25,14,75
"2017-09-08",24,8,73
"2017-09-09",25,13,74
"2017-09-10",22,12,72
"2017-09-11",23,22,70
"2017-09-12",21,26,61
"2017-09-13",23,14,69
"2017-09-14",25,10,72
"2017-09-15",26,10,55
"2017-09-16",23,10,62
"2017-09-17",20,14,57
"2017-09-18",22,8,85
"2017-09-19",19,21,59
"2017-09-20",22,12,67
"2017-09-21",22,11,65
"2017-09-22",24,10,68
"2017-09-23",24,9,65
"2017-09-24",23,12,75
"2017-09-25",23,10,76
"2017-09-26",22,6,77
"2017-09-27",22,11,73
"2017-09-28",24,10,69
"2017-09-29",24,12,71
"2017-09-30",24,10,65
"2017-10-01",20,6,58
"2017-10-02",23,8,64
"2017-10-03",23,11,60
"2017-10-04",24,9,62
"2017-10-05",23,11,61
"2017-10-06",22,12,62
"2017-10-07",22,13,45
"2017-10-08",20,9,57
"2017-10-09",23,9,56
"2017-10-10",21,8,67
"2017-10-11",22,10,62
"2017-10-12",23,10,54
"2017-10-13",23,10,67
"2017-10-14",24,9,60
"2017-10-15",24,9,50
"2017-10-16",25,9,43
"2017-10-17",25,9,44
"2017-10-18",24,8,39
"2017-10-19",25,9,54
"2017-10-20",25,5,64
"2017-10-21",24,10,47
"2017-10-22",19,23,61
"2017-10-23",20,13,51
"2017-10-24",21,13,42
"2017-10-25",23,10,38
"2017-10-26",23,9,47
"2017-10-27",21,9,72
"2017-10-28",21,12,62
"2017-10-29",18,11,66
"2017-10-30",21,10,59
"2017-10-31",21,4,57
"2017-11-01",20,6,63
"2017-11-02",20,8,49
"2017-11-03",20,7,68
"2017-11-04",22,9,54
"2017-11-05",16,19,85
"2017-11-06",11,15,70
"2017-11-07",16,7,59
"2017-11-08",13,10,76
"2017-11-09",14,6,56
"2017-11-10",14,5,85
"2017-11-11",16,8,71
"2017-11-12",17,20,72
"2017-11-13",13,24,53
"2017-11-14",13,17,57
"2017-11-15",17,13,54
"2017-11-16",16,8,66
"2017-11-17",17,8,62
"2017-11-18",16,8,68
"2017-11-19",15,10,69
"2017-11-20",16,11,68
"2017-11-21",16,8,68
"2017-11-22",17,6,61
"2017-11-23",18,6,60
"2017-11-24",18,6,55
"2017-11-25",16,12,88
"2017-11-26",12,18,51
"2017-11-27",12,7,57
"2017-11-28",13,3,65
"2017-11-29",12,3,81
"2017-11-30",9,20,53
"2017-12-01",10,15,55
"2017-12-02",8,9,84
"2017-12-03",10,5,79
"2017-12-04",10,6,62
"2017-12-05",13,9,69
"2017-12-06",12,6,75
"2017-12-07",13,5,72
"2017-12-08",12,17,90
"2017-12-09",8,33,57
"2017-12-10",11,24,93
"2017-12-11",15,31,89
"2017-12-12",12,2,80
"2017-12-13",10,10,59
"2017-12-14",12,19,88
"2017-12-15",12,10,89
"2017-12-16",9,20,68
"2017-12-17",10,8,59
"2017-12-18",9,7,56
"2017-12-19",10,9,63
"2017-12-20",10,5,72
"2017-12-21",11,6,49
"2017-12-22",14,6,55
"2017-12-23",14,6,60
"2017-12-24",14,7,70
"2017-12-25",14,6,73
"2017-12-26",12,9,85
"2017-12-27",10,21,93
"2017-12-28",8,33,65
"2017-12-29",10,9,43
"2017-12-30",13,6,85
"2017-12-31",15,3,81
